New Position #,Old Position         # ,Job Role,Job Description,FLSA Status,SOC for IPEDS,BLS SOC #,BLS Standard Occupational Code (SOC) Category Name,US Census Code #,VETS 100 Category
,,,Top Executive Officers,,,,,,
100000,1001,"Chief Executive Officer, System","President. Directs all affairs and operations of a higher education system or district. Each subordinate campus has its own President, Chancellor or Provost, administrative offices and independent programs.  ",Ex,110000,11-1011,Chief Executives,0010,Exec/Sr Level Officials
101000,1003,"Chief Executive Officer, Single Institution or Campus within a System",President or Chancellor. Directs all affairs and operations of a higher education institution or of a campus within a system.,Ex,110000,11-1011,Chief Executives,0010,Exec/Sr Level Officials
102000,1005,Executive Vice President/Vice Chancellor,"Responsible for all or most functions and operations of an institution under the direction of the Chief Executive Officer. If the incumbent is also the Chief Academic Affairs Officer/Provost, report in 105000 and not here. ",Ex,110000,11-9033,"Ed Administrators, Postsecondary",0230,Exec/Sr Level Officials
,,,Senior Institutional Officers: Positions 105000 - 145000                                                                 Persons in these positions direct a major functional area with institution-wide scope/impact and also the work of other professional employees. Reports to a top executive officer or to another senior institutional officer.,,,,,,
105000,1026,Chief Academic Affairs Officer / Provost,"Directs the academic program of the institution. Overall responsibilities typically include academic planning, teaching, research, extensions and coordination of interdepartmental affairs (e.g. Admissions, Registrar, and library activities).",Ex,110000,11-9033,"Education Administrators, Postsecondary",0230,Exec/Sr Level Officials
107000,1029,Chief Business Officer,"Responsible for the combined functions of administrative and financial affairs. Overall responsibilities typically include accounting, purchasing, physical plant and property management, human resources, food services, auxiliary enterprises, investments and related business matters.",Ex,110000,11-9033,"Education Administrators, Postsecondary",0230,Exec/Sr Level Officials
109000,6001,Chief Athletics Administrator ,"Provides administrative direction and oversight for all intercollegiate, intramural and recreational athletics staff, programs, facilities and activities.  Responsible for ensuring compliance with all federal, divisional and university athletics regulations and administering departmental funds and accounts. Develops short-term goals and long term strategic plan and vision for the department. Oversees departmental fund-raising, public relations and community outreach activities. Top athletics administrative position. Typically requires: Bachelors degree in an appropriate area of specialization; 5 - 8 or more years of relevant administrative/supervisory experience in intercollegiate or professional athletics. Previous job title: Director of Athletics.",Ex,110000,11-9033,"Education Administrators, Postsecondary",0230,Exec/Sr Level Officials
111000,1050,Chief Audit Officer,"Plans, develops, and directs the institutional internal audit function which serves as an independent assurance and advisory activity of the institution's risk, governance and control processes. Designs, develops, and implements internal auditing policy and procedure within the institution to ensure compliance with identified objectives, standards and laws. Leads and directs the work of others. Interviews, advises and negotiates with mid to executive level of management, which may include the governing board, as to results of the work performed. For smaller institutions, may perform individual audit, investigative or advisory engagements encompassing all the duties identified at the subordinate audit levels. Requires an advanced level of knowledge of auditing concepts, practices and procedures, as well as excellent verbal and written communication skills and diplomacy. Typically reports to governing board and/or to executive management. Requires bachelor degree in area of specialty or related field and at least 8 years of experience; may also require professional certification. Positions may be associated with titles such as vp/assoc vp/chancellor, executive director or director.  ",Ex,130000,13-2011,Accountants and Auditors,0800,Exec/Sr Level Officials
113000,1047,Chief Development /Advancement Officer ,"Responsible for institutional development programs. Overall responsibilities typically include institutional fundraising, public relations and alumni relations. Previous job title: Chief Development Officer.",Ex,110000,11-2031,Public Relations & Fundraising Manager,0060,Exec/Sr Level Officials
